,generic_name,lexi_generic_id,split_by_space,,,,,,,catgs
1858,DEXTROMETHORPHAN HYDROBROMIDE,None,DEXTROMETHORPHAN,HYDROBROMIDE,,,,,,
1860,BENZYDAMINE HYDROCHLORIDE,None,BENZYDAMINE,HYDROCHLORIDE,,,,,,
1861,INSULIN ISOPHANE,None,INSULIN,ISOPHANE,,,,,,
1865,CODEINE PHOSPHATE,None,CODEINE,PHOSPHATE,,,,,,
1867,FLUORIDE SODIUM,None,FLUORIDE,SODIUM,,,,,,
1868,NEOSTIGMINE METHYLSULFATE,None,NEOSTIGMINE,METHYLSULFATE,,,,,,
1869,CALCIPOTRIOL,None,CALCIPOTRIOL,,,,,,,
1871,MAPROTILINE HYDROCHLORIDE,None,MAPROTILINE,HYDROCHLORIDE,,,,,,
1876,MAPROTILINE HYDROCHLORIDE,None,MAPROTILINE,HYDROCHLORIDE,,,,,,
1877,MULTIVITAMIN THERAPEUTIC,None,MULTIVITAMIN,THERAPEUTIC,,,,,,
1879,ROPIVACAINE HYDROCHLORIDE,None,ROPIVACAINE,HYDROCHLORIDE,,,,,,
1883,CYCLOPENTOLATE HYDROCHLORIDE,None,CYCLOPENTOLATE,HYDROCHLORIDE,,,,,,
1891,ATRACURIUM BESYLATE,None,ATRACURIUM,BESYLATE,,,,,,
1895,CLOFIBRATE,None,CLOFIBRATE,,,,,,,
1897,CODEINE PHOSPHATE,None,CODEINE,PHOSPHATE,,,,,,
1900,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
1901,ATOMOXETINE HYDROCHLORIDE,None,ATOMOXETINE,HYDROCHLORIDE,,,,,,
1903,IPRATROPIUM BROMIDE,None,IPRATROPIUM,BROMIDE,,,,,,
1906,MEGESTROL ACETATE,None,MEGESTROL,ACETATE,,,,,,
1914,SUCCINYLCHOLINE CHLORIDE,None,SUCCINYLCHOLINE,CHLORIDE,,,,,,
1917,ETHINYLESTRADIOL,None,ETHINYLESTRADIOL,,,,,,,
1919,POLYETHYLENE GLYCOL - ELECTROLYTE 1,None,POLYETHYLENE,GLYCOL,-,ELECTROLYTE,1,,,
1920,DIPHENHYDRAMINE HYDROCHLORIDE,None,DIPHENHYDRAMINE,HYDROCHLORIDE,,,,,,
1923,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
1927,SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE,None,SODIUM,PHOSPHATE,DIBASIC,HEPTAHYDRATE,,,,
1928,SODIUM PHOSPHATE MONOBASIC MONOHYDRATE,None,SODIUM,PHOSPHATE,MONOBASIC,MONOHYDRATE,,,,
1929,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
1931,LEVOFLOXACIN HEMIHYDRATE,None,LEVOFLOXACIN,HEMIHYDRATE,,,,,,
1934,MESALAZINE,None,MESALAZINE,,,,,,,
1936,VINCRISTINE SULFATE,None,VINCRISTINE,SULFATE,,,,,,
1937,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1940,KETOROLAC TROMETAMOL,None,KETOROLAC,TROMETAMOL,,,,,,
1941,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1951,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1955,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
1957,DANTROLENE SODIUM,None,DANTROLENE,SODIUM,,,,,,
1958,ATOMOXETINE HYDROCHLORIDE,None,ATOMOXETINE,HYDROCHLORIDE,,,,,,
1959,RIFAMPICIN,None,RIFAMPICIN,,,,,,,
1960,NAPHAZOLINE HYDROCHLORIDE,None,NAPHAZOLINE,HYDROCHLORIDE,,,,,,
1966,SILDENAFIL CITRATE,None,SILDENAFIL,CITRATE,,,,,,
1967,CHLORPROMAZINE HYDROCHLORIDE,None,CHLORPROMAZINE,HYDROCHLORIDE,,,,,,
1968,MESALAZINE,None,MESALAZINE,,,,,,,
1979,QUINIDINE SULFATE,None,QUINIDINE,SULFATE,,,,,,
1982,BOTULINUM A TOXIN,None,BOTULINUM,A,TOXIN,,,,,
1984,ATOMOXETINE HYDROCHLORIDE,None,ATOMOXETINE,HYDROCHLORIDE,,,,,,
1985,ATOMOXETINE HYDROCHLORIDE,None,ATOMOXETINE,HYDROCHLORIDE,,,,,,
1986,TRIHEXYPHENIDYL HYDROCHLORIDE,None,TRIHEXYPHENIDYL,HYDROCHLORIDE,,,,,,
1987,FLUPENTHIXOL,None,FLUPENTHIXOL,,,,,,,
1988,PAPAVERINE HYDROCHLORIDE,None,PAPAVERINE,HYDROCHLORIDE,,,,,,
1989,RIFAMPICIN,None,RIFAMPICIN,,,,,,,
1993,ARTIFICIAL TEARS (HYALURONATE SODIUM,None,ARTIFICIAL,TEARS,(HYALURONATE,SODIUM,,,,
1994,TS-POLYSACCARIDE),None,TS-POLYSACCARIDE),,,,,,,
1996,DESOXYRIBONUCLEASE,None,DESOXYRIBONUCLEASE,,,,,,,
1998,KETOROLAC TROMETAMOL,None,KETOROLAC,TROMETAMOL,,,,,,
2001,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
2002,QUETIAPINE FUMARATE,None,QUETIAPINE,FUMARATE,,,,,,
2006,METHOTREXATE SODIUM,None,METHOTREXATE,SODIUM,,,,,,
2008,QUETIAPINE FUMARATE,None,QUETIAPINE,FUMARATE,,,,,,
2009,QUETIAPINE FUMARATE,None,QUETIAPINE,FUMARATE,,,,,,
2011,ADULT COLD PREPARATION,None,ADULT,COLD,PREPARATION,,,,,
2012,ATOMOXETINE HYDROCHLORIDE,None,ATOMOXETINE,HYDROCHLORIDE,,,,,,
2014,BUPIVACAINE HYDROCHLORIDE,None,BUPIVACAINE,HYDROCHLORIDE,,,,,,
2015,METHOTREXATE SODIUM,None,METHOTREXATE,SODIUM,,,,,,
2016,ARTIFICIAL TEARS (HYALURONATE SODIUM,None,ARTIFICIAL,TEARS,(HYALURONATE,SODIUM,,,,
2017,TS-POLYSACCARIDE),None,TS-POLYSACCARIDE),,,,,,,
2019,ETHINYLESTRADIOL,None,ETHINYLESTRADIOL,,,,,,,
2021,CO-TRIMOXAZOLE,None,CO-TRIMOXAZOLE,,,,,,,
2025,SURFACTANT,None,SURFACTANT,,,,,,,
2026,LISDEXAMFETAMINE MESILATE,None,LISDEXAMFETAMINE,MESILATE,,,,,,
2027,FLUPENTHIXOL DECANOATE,None,FLUPENTHIXOL,DECANOATE,,,,,,
2028,LISDEXAMFETAMINE MESILATE,None,LISDEXAMFETAMINE,MESILATE,,,,,,
2032,LISDEXAMFETAMINE MESILATE,None,LISDEXAMFETAMINE,MESILATE,,,,,,
2034,ACTIVATED PROTHROMBIN COMPLEX,None,ACTIVATED,PROTHROMBIN,COMPLEX,,,,,
2035,LIDOCAINE HYDROCHLORIDE,None,LIDOCAINE,HYDROCHLORIDE,,,,,,
2042,MEDROXYPROGESTERONE ACETATE,None,MEDROXYPROGESTERONE,ACETATE,,,,,,
2043,ESTRADIOL CYPIONATE,None,ESTRADIOL,CYPIONATE,,,,,,
2048,ACETYLCHOLINE CHLORIDE,None,ACETYLCHOLINE,CHLORIDE,,,,,,
2051,MEDROXYPROGESTERONE ACETATE,None,MEDROXYPROGESTERONE,ACETATE,,,,,,
2057,LABETALOL HYDROCHLORIDE,None,LABETALOL,HYDROCHLORIDE,,,,,,
2060,RALOXIFENE HYDROCHLORIDE,None,RALOXIFENE,HYDROCHLORIDE,,,,,,
2063,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
2072,LIDOCAINE HYDROCHLORIDE,None,LIDOCAINE,HYDROCHLORIDE,,,,,,
2079,CETIRIZINE HYDROCHLORIDE,None,CETIRIZINE,HYDROCHLORIDE,,,,,,
2080,URSODEOXYCHOLIC ACID,None,URSODEOXYCHOLIC,ACID,,,,,,
2082,OXYMETAZOLINE HYDROCHLORIDE,None,OXYMETAZOLINE,HYDROCHLORIDE,,,,,,
2083,CHLORPHENIRAMINE MALEATE,None,CHLORPHENIRAMINE,MALEATE,,,,,,
2087,TRICLOCARBAN,None,TRICLOCARBAN,,,,,,,
2088,BELLADONNA PB,None,BELLADONNA,PB,,,,,,
2096,BIOTIN,None,BIOTIN,,,,,,,
2098,PROPAFENONE HYDROCHLORIDE,None,PROPAFENONE,HYDROCHLORIDE,,,,,,
2103,LEUPRORELIN ACETATE,None,LEUPRORELIN,ACETATE,,,,,,
2109,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
2110,DILTIAZEM HYDROCHLORIDE,None,DILTIAZEM,HYDROCHLORIDE,,,,,,
2113,FLUDARABINE PHOSPHATE,None,FLUDARABINE,PHOSPHATE,,,,,,
2115,GEMCITABINE HYDROCHLORIDE,None,GEMCITABINE,HYDROCHLORIDE,,,,,,
2116,LEUPRORELIN ACETATE,None,LEUPRORELIN,ACETATE,,,,,,
2117,GEMCITABINE HYDROCHLORIDE,None,GEMCITABINE,HYDROCHLORIDE,,,,,,
2122,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
2127,PROPAFENONE HYDROCHLORIDE,None,PROPAFENONE,HYDROCHLORIDE,,,,,,
2128,DIPHENHYDRAMINE HYDROCHLORIDE,None,DIPHENHYDRAMINE,HYDROCHLORIDE,,,,,,
2129,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
2130,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
2132,ADEFOVIR DIPIVOXIL,None,ADEFOVIR,DIPIVOXIL,,,,,,
2156,CYPROHEPTADINE HYDROCHLORIDE,None,CYPROHEPTADINE,HYDROCHLORIDE,,,,,,
2158,TRIENTINE HYDROCHLORIDE,None,TRIENTINE,HYDROCHLORIDE,,,,,,
2161,PYRVINIUM,None,PYRVINIUM,,,,,,,
2166,THIORIDAZINE HYDROCHLORIDE,None,THIORIDAZINE,HYDROCHLORIDE,,,,,,
2168,FEXOFENADINE HYDROCHLORIDE,None,FEXOFENADINE,HYDROCHLORIDE,,,,,,
2169,THIORIDAZINE HYDROCHLORIDE,None,THIORIDAZINE,HYDROCHLORIDE,,,,,,
2170,BROMHEXINE HYDROCHLORIDE,None,BROMHEXINE,HYDROCHLORIDE,,,,,,
2178,MESALAZINE,None,MESALAZINE,,,,,,,
2180,HYROCHLOROTHIAZIDE,None,HYROCHLOROTHIAZIDE,,,,,,,
2181,COLLODION,None,COLLODION,,,,,,,
2183,BUPROPION HYDROCHLORIDE,None,BUPROPION,HYDROCHLORIDE,,,,,,
2191,CHARCOAL ACTIVATED,None,CHARCOAL,ACTIVATED,,,,,,
2193,PROSTAGLANDIN E1,None,PROSTAGLANDIN,E1,,,,,,
2195,MEGLUMINE COMPOUND,None,MEGLUMINE,COMPOUND,,,,,,
2203,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
2207,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
2208,SILDENAFIL CITRATE,None,SILDENAFIL,CITRATE,,,,,,
2212,METHYLPHENIDATE HYDROCHLORIDE,None,METHYLPHENIDATE,HYDROCHLORIDE,,,,,,
2213,URSODEOXYCHOLIC ACID,None,URSODEOXYCHOLIC,ACID,,,,,,
2214,EDROPHONIUM CHLORIDE,None,EDROPHONIUM,CHLORIDE,,,,,,
2216,ATROPINE SULFATE,None,ATROPINE,SULFATE,,,,,,
2219,CHLORPROMAZINE HYDROCHLORIDE,None,CHLORPROMAZINE,HYDROCHLORIDE,,,,,,
2220,HEMODIALYSIS I,None,HEMODIALYSIS,I,,,,,,
2223,FELYPRESSIN,None,FELYPRESSIN,,,,,,,
2224,CONTRACEPTIVE DE,None,CONTRACEPTIVE,DE,,,,,,
2228,MEGESTROL ACETATE,None,MEGESTROL,ACETATE,,,,,,
2230,AMPHOTERICIN B NANOLIPOSOMAL,None,AMPHOTERICIN,B,NANOLIPOSOMAL,,,,,
2231,CHORIONIC GONADOTROPHIN,None,CHORIONIC,GONADOTROPHIN,,,,,,
2232,MEGESTROL ACETATE,None,MEGESTROL,ACETATE,,,,,,
2234,MEPIVACAINE HYDROCHLORIDE,None,MEPIVACAINE,HYDROCHLORIDE,,,,,,
2236,PRAMIPEXOLE DIHYDROCHLORIDE,None,PRAMIPEXOLE,DIHYDROCHLORIDE,,,,,,
2237,CLINDAMYCIN PHOSPHATE,None,CLINDAMYCIN,PHOSPHATE,,,,,,
2239,PRAMIPEXOLE DIHYDROCHLORIDE,None,PRAMIPEXOLE,DIHYDROCHLORIDE,,,,,,
2240,MYCOPHENOLATE MOFETIL,None,MYCOPHENOLATE,MOFETIL,,,,,,
2241,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
2243,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
2246,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
2248,TRAMADOL HYDROCHLORIDE,None,TRAMADOL,HYDROCHLORIDE,,,,,,
2251,PANCURONIUM BROMIDE,None,PANCURONIUM,BROMIDE,,,,,,
2252,AMINO ACID 10% WITH ELECTROLYTE,None,AMINO,ACID,10%,WITH,ELECTROLYTE,,,
2254,COAGULATION FACTOR VIII,None,COAGULATION,FACTOR,VIII,,,,,
2255,FACTOR VIII,None,FACTOR,VIII,,,,,,
2257,AMINO ACID 5% WITH ELECTROLYTE,None,AMINO,ACID,5%,WITH,ELECTROLYTE,,,
2259,CICLOSPORIN,None,CICLOSPORIN,,,,,,,
2260,THIORIDAZINE HYDROCHLORIDE,None,THIORIDAZINE,HYDROCHLORIDE,,,,,,
2262,CICLOSPORIN,None,CICLOSPORIN,,,,,,,
2264,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
2268,INSULIN BIPHASIC LISPRO 25,None,INSULIN,BIPHASIC,LISPRO,25,,,,
2269,75,None,75,,,,,,,
2270,IPRATROPIUM BROMIDE,None,IPRATROPIUM,BROMIDE,,,,,,
2271,FENOTEROL HYDROBROMIDE,None,FENOTEROL,HYDROBROMIDE,,,,,,
2274,INSULIN BIPHASIC LISPRO 50,None,INSULIN,BIPHASIC,LISPRO,50,,,,
2275,50,None,50,,,,,,,
2276,PRAMIPEXOLE DIHYDROCHLORIDE,None,PRAMIPEXOLE,DIHYDROCHLORIDE,,,,,,
2277,CICLOSPORIN,None,CICLOSPORIN,,,,,,,
2283,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
2285,ALUMINIUM HYDROXIDE,None,ALUMINIUM,HYDROXIDE,,,,,,
2290,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
2292,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
2304,OXYMETAZOLINE HYDROCHLORIDE,None,OXYMETAZOLINE,HYDROCHLORIDE,,,,,,
2308,POTASSIUM AMINOBENZOIC ACID,None,POTASSIUM,AMINOBENZOIC,ACID,,,,,
2313,EXPECTORANT,None,EXPECTORANT,,,,,,,
2314,EXPECTORANT CODEINE,None,EXPECTORANT,CODEINE,,,,,,
2318,CALCIUM FOLINATE,None,CALCIUM,FOLINATE,,,,,,
2322,METHYLERGONOVINE MALEATE,None,METHYLERGONOVINE,MALEATE,,,,,,
2323,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
2324,HEMODIALYSIS II,None,HEMODIALYSIS,II,,,,,,
2325,VALPROATE SEMISODIUM,None,VALPROATE,SEMISODIUM,,,,,,
2329,SALICYLIC ACID COMPOUND,None,SALICYLIC,ACID,COMPOUND,,,,,
2330,BIPERIDEN HYDROCHLORIDE,None,BIPERIDEN,HYDROCHLORIDE,,,,,,
2334,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
2335,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
2336,PROPRANOLOL HYDROCHLORIDE,None,PROPRANOLOL,HYDROCHLORIDE,,,,,,
2338,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
2339,FACTOR VIII,None,FACTOR,VIII,,,,,,
2341,TRASTUZUMAB EMTANSINE,None,TRASTUZUMAB,EMTANSINE,,,,,,
2345,BELLADONNA PB,None,BELLADONNA,PB,,,,,,
2350,CROMOLYN SODIUM,None,CROMOLYN,SODIUM,,,,,,
2353,"PHOSPHATE, POTASSIUM MONOBASIC",None,"PHOSPHATE,",POTASSIUM,MONOBASIC,,,,,
2355,URSODEOXYCHOLIC ACID,None,URSODEOXYCHOLIC,ACID,,,,,,
2360,DIHYDROERGOTAMINE MESYLATE,None,DIHYDROERGOTAMINE,MESYLATE,,,,,,
2366,COAGULATION FACTOR VIII,None,COAGULATION,FACTOR,VIII,,,,,
2367,PERITONEAL DIALYSIS I,None,PERITONEAL,DIALYSIS,I,,,,,
2368,PERITONEAL DIALYSIS II,None,PERITONEAL,DIALYSIS,II,,,,,
2370,PERITONEAL DIALYSIS III,None,PERITONEAL,DIALYSIS,III,,,,,
2371,CLOBETASOL PROPIONATE,None,CLOBETASOL,PROPIONATE,,,,,,
2373,PERITONEAL DIALYSIS I,None,PERITONEAL,DIALYSIS,I,,,,,
1410,ZONISAMIDE,3567,ZONISAMIDE,,,,,,,3567|3618|3621|3689|3702|3757|3760|3761|3816|3817|3820|3871
2134,ZONISAMIDE,3567,ZONISAMIDE,,,,,,,3567|3618|3621|3689|3702|3757|3760|3761|3816|3817|3820|3871
55,ZOLPIDEM,3566,ZOLPIDEM,,,,,,,3566|3702|3724|3727|3728|3757|3760|3761|3781|3782|3789|3791|3816|3817|3818|3869
103,ZOLPIDEM,3566,ZOLPIDEM,,,,,,,3566|3702|3724|3727|3728|3757|3760|3761|3781|3782|3789|3791|3816|3817|3818|3869
2133,ZOLMITRIPTAN,3565,ZOLMITRIPTAN,,,,,,,3565|3724|3727|3728|4030
2365,ZOLMITRIPTAN,3565,ZOLMITRIPTAN,,,,,,,3565|3724|3727|3728|4030
1448,ZOLEDRONIC ACID,3564,ZOLEDRONIC,ACID,,,,,,3564|3671
1542,ZOLEDRONIC ACID,3564,ZOLEDRONIC,ACID,,,,,,3564|3671
263,ZINC OXIDE,3559,ZINC,OXIDE,,,,,,
1818,ZINC OXIDE,3559,ZINC,OXIDE,,,,,,
2124,ZINC OXIDE,3559,ZINC,OXIDE,,,,,,
2302,ZINC OXIDE,3559,ZINC,OXIDE,,,,,,
1742,ZINC,3555,ZINC,,,,,,,3983|4091
1810,ZALEPLON,3548,ZALEPLON,,,,,,,3548|3702|3816|3817|3820|3869
1811,ZALEPLON,3548,ZALEPLON,,,,,,,3548|3702|3816|3817|3820|3869
1200,WATER,3533,WATER,,,,,,,
1793,WATER,3533,WATER,,,,,,,
2031,WATER,3533,WATER,,,,,,,
163,VORICONAZOLE,3526,VORICONAZOLE,,,,,,,3526|3623|3624|3753|3754|3757|3758|3759|3777|3781|3782|3812|3814|3816|3817|3818|3980|3997|4004|4011
298,VORICONAZOLE,3526,VORICONAZOLE,,,,,,,3526|3623|3624|3753|3754|3757|3758|3759|3777|3781|3782|3812|3814|3816|3817|3818|3980|3997|4004|4011
422,VORICONAZOLE,3526,VORICONAZOLE,,,,,,,3526|3623|3624|3753|3754|3757|3758|3759|3777|3781|3782|3812|3814|3816|3817|3818|3980|3997|4004|4011
2256,VON WILLEBRAND FACTOR,3522,VON,WILLEBRAND,FACTOR,,,,,
2340,VON WILLEBRAND FACTOR,3522,VON,WILLEBRAND,FACTOR,,,,,
891,VITAMIN E,3518,VITAMIN,E,,,,,,3518|4090
400,VITAMIN B COMPLEX,3516,VITAMIN,B,COMPLEX,,,,,
317,VITAMIN A,3511,VITAMIN,A,,,,,,3511|4090
858,VITAMIN A,3511,VITAMIN,A,,,,,,3511|4090
1552,VITAMIN A,3511,VITAMIN,A,,,,,,3511|4090
1828,VITAMIN A,3511,VITAMIN,A,,,,,,3511|4090
1829,VITAMIN A,3511,VITAMIN,A,,,,,,3511|4090
732,VILANTEROL,3497,VILANTEROL,,,,,,,3497|3578|3658|3659|3816|3818|3819|3996|4042
824,VIGABATRIN,3496,VIGABATRIN,,,,,,,3496|3618|3702|3871
36,VENLAFAXINE,3489,VENLAFAXINE,,,,,,,3489|3579|3757|3760|3761|3781|3782|3788|3789|3791|3819|3820|3871|4024|4032
50,VENLAFAXINE,3489,VENLAFAXINE,,,,,,,3489|3579|3757|3760|3761|3781|3782|3788|3789|3791|3819|3820|3871|4024|4032
956,VENLAFAXINE,3489,VENLAFAXINE,,,,,,,3489|3579|3757|3760|3761|3781|3782|3788|3789|3791|3819|3820|3871|4024|4032
1256,VENLAFAXINE,3489,VENLAFAXINE,,,,,,,3489|3579|3757|3760|3761|3781|3782|3788|3789|3791|3819|3820|3871|4024|4032
2364,VELPATASVIR,3486,VELPATASVIR,,,,,,,3486|3651|3743|3746|3747|3771|3772|3816|3817|3820|3831|3947|3972|3973|3974|3977
2202,VASOPRESSIN,3482,VASOPRESSIN,,,,,,,3482|3871
1086,VANCOMYCIN,3475,VANCOMYCIN,,,,,,,3475|3610|3611
1753,VANCOMYCIN,3475,VANCOMYCIN,,,,,,,3475|3610|3611
38,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
53,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
88,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
102,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
171,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
613,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
717,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
727,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
740,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
742,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
762,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
930,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
1904,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
1908,VALSARTAN,3473,VALSARTAN,,,,,,,3473|3600|3631|3672|3927|3949|3950
2148,VALGANCICLOVIR,3470,VALGANCICLOVIR,,,,,,,3577|3851|3918
2200,VALGANCICLOVIR,3470,VALGANCICLOVIR,,,,,,,3577|3851|3918
730,VALACYCLOVIR,3467,VALACYCLOVIR,,,,,,,3576|3577|3629|3723|3918
794,VALACYCLOVIR,3467,VALACYCLOVIR,,,,,,,3576|3577|3629|3723|3918
1361,UROFOLLITROPIN,3461,UROFOLLITROPIN,,,,,,,
731,UMECLIDINIUM,3449,UMECLIDINIUM,,,,,,,3449|3578|3615|3789|3791|3910|3976|3977
1638,TROPICAMIDE,3428,TROPICAMIDE,,,,,,,
1820,TROPICAMIDE,3428,TROPICAMIDE,,,,,,,
1822,TROPICAMIDE,3428,TROPICAMIDE,,,,,,,
2053,TROPICAMIDE,3428,TROPICAMIDE,,,,,,,
1462,TRIPTORELIN,3425,TRIPTORELIN,,,,,,,3597|3867|3913|3996
1507,TRIPTORELIN,3425,TRIPTORELIN,,,,,,,3597|3867|3913|3996
1513,TRIPTORELIN,3425,TRIPTORELIN,,,,,,,3597|3867|3913|3996
1841,TRIPTORELIN,3425,TRIPTORELIN,,,,,,,3597|3867|3913|3996
1291,TRIMIPRAMINE,3419,TRIMIPRAMINE,,,,,,,3419|3581|3615|3702|3716|3757|3760|3761|3789|3790|3836|4024|4054|4056
1298,TRIMIPRAMINE,3419,TRIMIPRAMINE,,,,,,,3419|3581|3615|3702|3716|3757|3760|3761|3789|3790|3836|4024|4054|4056
2138,TRIMIPRAMINE,3419,TRIMIPRAMINE,,,,,,,3419|3581|3615|3702|3716|3757|3760|3761|3789|3790|3836|4024|4054|4056
1698,TRIFLURIDINE,3407,TRIFLURIDINE,,,,,,,
949,TRIFLUOPERAZINE,3406,TRIFLUOPERAZINE,,,,,,,3581|3615|3638|3639|3640|3702|3980|4065
972,TRIFLUOPERAZINE,3406,TRIFLUOPERAZINE,,,,,,,3581|3615|3638|3639|3640|3702|3980|4065
1821,TRIFLUOPERAZINE,3406,TRIFLUOPERAZINE,,,,,,,3581|3615|3638|3639|3640|3702|3980|4065
2039,TRIFLUOPERAZINE,3406,TRIFLUOPERAZINE,,,,,,,3581|3615|3638|3639|3640|3702|3980|4065
486,TRIAMTERENE,3394,TRIAMTERENE,,,,,,,3394|3631|3672|3832|3871|3985
1626,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
1659,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
1734,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
1850,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
1907,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
2150,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
2238,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
2263,TRETINOIN,3386,TRETINOIN,,,,,,,3386|3672|3734|3737|3738|3743|3746|3747|3771|3772|3781|3782|3793|3794|3872|3980|4013
1329,TRASTUZUMAB,3378,TRASTUZUMAB,,,,,,,3378|3847|3924
1508,TRASTUZUMAB,3378,TRASTUZUMAB,,,,,,,3378|3847|3924
1288,TRANYLCYPROMINE,3377,TRANYLCYPROMINE,,,,,,,3377|3581|3615|3672|3872|3921|3922|4024
388,TRANEXAMIC ACID,3373,TRANEXAMIC,ACID,,,,,,3373|3622
1173,TRANEXAMIC ACID,3373,TRANEXAMIC,ACID,,,,,,3373|3622
1017,TOPIRAMATE,3361,TOPIRAMATE,,,,,,,3361|3618|3621|3689|3702|3871
1027,TOPIRAMATE,3361,TOPIRAMATE,,,,,,,3361|3618|3621|3689|3702|3871
1263,TOPIRAMATE,3361,TOPIRAMATE,,,,,,,3361|3618|3621|3689|3702|3871
2291,TOLMETIN,3356,TOLMETIN,,,,,,,3579|3837|3934|3936|3980
1204,TOFACITINIB,3349,TOFACITINIB,,,,,,,3349|3669|3757|3760|3761|3816|3817|3818|3877|3929
1355,TOFACITINIB,3349,TOFACITINIB,,,,,,,3349|3669|3757|3760|3761|3816|3817|3818|3877|3929
588,TOCILIZUMAB,3348,TOCILIZUMAB,,,,,,,3348|3669|3877|3896
1253,TOBRAMYCIN,3344,TOBRAMYCIN,,,,,,,3612
1254,TOBRAMYCIN,3344,TOBRAMYCIN,,,,,,,3612
1441,TOBRAMYCIN,3344,TOBRAMYCIN,,,,,,,3612
1886,TOBRAMYCIN,3344,TOBRAMYCIN,,,,,,,3612
130,TIZANIDINE,3342,TIZANIDINE,,,,,,,3342|3590|3672|3674|3702|3724|3725|3726|3727|3730|3872
2064,TIROFIBAN,3334,TIROFIBAN,,,,,,,3579
